,AIDA_WW_UCAW_LA_18062021.,Getting travel insurance:AIDA_WW_CAW_CB_07062021,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums:AIDA_WW_CAW_CB_07062021",Renting a car:AIDA_WW_CAW_CB_07062021,Hiring a tour guide:AIDA_WW_CAW_CB_07062021,Finding a 5* hotel:AIDA_WW_CAW_CB_07062021,Finding free accommodation via couch surfing website:AIDA_WW_CAW_CB_07062021,Buying a weekly ticket for public transport:AIDA_WW_CAW_CB_07062021,Getting free advice/maps from the local tourist organization:AIDA_WW_CAW_CB_07062021,Renting a bike from the street (public bicycle scheme):AIDA_WW_CAW_CB_07062021,Walking into the mayor’s office for a quick catch up:AIDA_WW_CAW_CB_07062021,AIDA_WW_UUBA_TB_18062021 ,Go City:AIDA_WW_ABA_IMS_07062021,CityPass:AIDA_WW_ABA_IMS_07062021,The Sightseeing Pass:AIDA_WW_ABA_IMS_07062021,iVenture Card:AIDA_WW_ABA_IMS_07062021,Turbopass:AIDA_WW_ABA_IMS_07062021,The New York Pass:AIDA_WW_ABA_IMS_07062021,Hopper Pass:AIDA_WW_ABA_IMS_07062021,Tour Pass:AIDA_WW_ABA_IMS_07062021,Zipper Pass:AIDA_WW_ABA_IMS_07062021,Go Las Vegas:AIDA_WW_ABA_IMS_07062021,Go Oahu:AIDA_WW_ABA_IMS_07062021,AIDA_WW_AWS_RB_14062021,Other:AIDA_WW_AWS_RB_14062021,Go City :AIDA_WW_BEX_CB_16082021,City Pass :AIDA_WW_BEX_CB_16082021,The Sightseeing Pass :AIDA_WW_BEX_CB_16082021,iVenture Card :AIDA_WW_BEX_CB_16082021,Turbopass :AIDA_WW_BEX_CB_16082021,The New York Pass :AIDA_WW_BEX_CB_16082021,Go City:AIDA_WW_BSAT_RBG_07062021,CityPass:AIDA_WW_BSAT_RBG_07062021,The Sightseeing Pass:AIDA_WW_BSAT_RBG_07062021,iVentureCard:AIDA_WW_BSAT_RBG_07062021,Turbopass:AIDA_WW_BSAT_RBG_07062021,The New York Pass:AIDA_WW_BSAT_RBG_07062021,Go City:AIDA_WW_BCON_RBG_07062021,CityPass:AIDA_WW_BCON_RBG_07062021,The Sightseeing Pass:AIDA_WW_BCON_RBG_07062021,iVenture Card:AIDA_WW_BCON_RBG_07062021,Turbopass:AIDA_WW_BCON_RBG_07062021,The New York Pass:AIDA_WW_BCON_RBG_07062021,AIDA_WW_PURCHI_RB_07062021,AIDA_WW_UCAW_LA_18062021._clean,AIDA_WW_UUBA_TB_18062021 _clean,AIDA_WW_UBA_TB_07062021_clean,I own a valid passport:SBEH_US_PASS_CB_07062021,I plan a leisure trip within the USA in the next two years:SBEH_US_PASS_CB_07062021,I plan a leisure trip abroad in the next two years:SBEH_US_PASS_CB_07062021,Boston:SBEH_US_TRINTUS_CB_14062021.,Chicago:SBEH_US_TRINTUS_CB_14062021.,Las Vegas:SBEH_US_TRINTUS_CB_14062021.,Los Angeles:SBEH_US_TRINTUS_CB_14062021.,Miami:SBEH_US_TRINTUS_CB_14062021.,New Orleans:SBEH_US_TRINTUS_CB_14062021.,New York:SBEH_US_TRINTUS_CB_14062021.,Oahu:SBEH_US_TRINTUS_CB_14062021.,Orlando:SBEH_US_TRINTUS_CB_14062021.,Philadelphia:SBEH_US_TRINTUS_CB_14062021.,San Antonio:SBEH_US_TRINTUS_CB_14062021.,San Diego:SBEH_US_TRINTUS_CB_14062021.,San Francisco:SBEH_US_TRINTUS_CB_14062021.,Washington DC:SBEH_US_TRINTUS_CB_14062021.,Bangkok:SBEH_US_TRINTWW_CB_14062021,Dubai:SBEH_US_TRINTWW_CB_14062021,Hong Kong:SBEH_US_TRINTWW_CB_14062021,Shanghai:SBEH_US_TRINTWW_CB_14062021,Singapore:SBEH_US_TRINTWW_CB_14062021,Cancun:SBEH_US_TRINTWW_CB_14062021,Barcelona:SBEH_US_TRINTWW_CB_14062021,Berlin:SBEH_US_TRINTWW_CB_14062021,Dublin:SBEH_US_TRINTWW_CB_14062021,Gothenburg:SBEH_US_TRINTWW_CB_14062021,Helsinki:SBEH_US_TRINTWW_CB_14062021,London:SBEH_US_TRINTWW_CB_14062021,Madrid:SBEH_US_TRINTWW_CB_14062021,Paris:SBEH_US_TRINTWW_CB_14062021,Rome:SBEH_US_TRINTWW_CB_14062021,Stockholm:SBEH_US_TRINTWW_CB_14062021,Vienna:SBEH_US_TRINTWW_CB_14062021,SBEH_WW_TRFREQ_RB_07062021,SBEH_WW_AVTRIP_RB_07062021,Beach or seaside resort:SBEH_WW_DESTTYPE_CB_07062021,Mountain or alpine resort:SBEH_WW_DESTTYPE_CB_07062021,City or Metropolis:SBEH_WW_DESTTYPE_CB_07062021,Culturally/Spiritually significant place:SBEH_WW_DESTTYPE_CB_07062021,Rural or countryside locales:SBEH_WW_DESTTYPE_CB_07062021,Niche or extreme destinations (e.g. Antarctica):SBEH_WW_DESTTYPE_CB_07062021,Something else:SBEH_WW_DESTTYPE_CB_07062021,Hotel:SBEH_WW_STAYTYPE_CB_07062021,Luxury resort:SBEH_WW_STAYTYPE_CB_07062021,Airbnb / privately rented accommodations:SBEH_WW_STAYTYPE_CB_07062021,Youth hostel:SBEH_WW_STAYTYPE_CB_07062021,Relative or friend’s house:SBEH_WW_STAYTYPE_CB_07062021,Campsite:SBEH_WW_STAYTYPE_CB_07062021,Somewhere else:SBEH_WW_STAYTYPE_CB_07062021
708,Hotel,Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",NoAnswer,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,"Expedia,Travelocity,Kayak",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,hotel,"expedia,travelocity,kayak",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,5-6 days,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhere else
709,"I would book the travel there and back, I would book the hotels that I was staying at. I would purchase passes for the subway systems too. If there was something special that I wanted to see, I may book that in advance too",Getting travel insurance,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"I have not traveled in so long, I have no idea",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"i would book the travel there and back, i would book the hotels that i was staying at. i would purchase passes for the subway systems too. if there was something special that i wanted to see, i may book that in advance too","i have not traveled in so long, i have no idea",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New Orleans,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,4 days or fewer,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
710,"i would pre book the flight and hotel, everything else I would figure out when I got there.",Getting travel insurance,NoAnswer,Renting a car,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,"expedia, american airlines",not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"i would pre book the flight and hotel, everything else i would figure out when i got there.","expedia, american airlines",NoAnswer,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Cancun,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Once a year or about once a year,5-6 days,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,Luxury resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
711,my Lunch/Date so I wouldn't have to wait in line,NoAnswer,NoAnswer,Renting a car,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Goolle Search-Maps/ Yelp,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,my lunch/date so i wouldn't have to wait in line,goolle search-maps/ yelp,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,Boston,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,Orlando,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,Between 1 and 2 weeks,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
712,"Flight, hotel rooms",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,The effiel tower,Go City,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Bing search,NoAnswer,Go City,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Go City,"flight, hotel rooms",the effiel tower,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Oahu,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,Between 1 and 2 weeks,NoAnswer,Mountain or alpine resort,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
713,hotel,Getting travel insurance,NoAnswer,Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,expedia booking.com,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,hotel,expedia booking.com,NoAnswer,NoAnswer,NoAnswer,I plan a leisure trip abroad in the next two years,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,Between 1 and 2 weeks,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
714,"Hotel, airplane, extractions",NoAnswer,NoAnswer,Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,NoAnswer,NoAnswer,Renting a bike from the street (public bicycle scheme),NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"hotel, airplane, extractions",NoAnswer,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Los Angeles,Miami,New Orleans,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Washington DC,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,5-6 days,NoAnswer,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
715,"Flights, to and from.  Hotel reservations.  Side excursions, if any.  Rental car. ",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,NoAnswer,NoAnswer,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,"United Airlines, Enterprise, Hyatt ",NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,"flights, to and from.  hotel reservations.  side excursions, if any.  rental car. ","united airlines, enterprise, hyatt ",NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New Orleans,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Washington DC,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,Between 1 and 2 weeks,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
716,ABBA museum in London B737 restaurant outside of London Harry Potter movie studio in London area,Getting travel insurance,NoAnswer,Renting a car,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Delta Airlines United Airlines Hertz Orbitz,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,abba museum in london b737 restaurant outside of london harry potter movie studio in london area,delta airlines united airlines hertz orbitz,NoAnswer,I own a valid passport,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,Between 1 and 2 weeks,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,Relative or friend’s house,NoAnswer,NoAnswer
717,hotel taxis restraunt,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,NoAnswer,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,i dont know,NoAnswer,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Neither satisfied nor dissatisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Citypass,hotel taxis restraunt,i dont know,NoAnswer,NoAnswer,NoAnswer,I plan a leisure trip abroad in the next two years,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,London,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Less than once a year,Between 1 and 2 weeks,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
718,"Hotel, flight, rental car",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,Expedia travelocity,Go City,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Not sure,NoAnswer,Go City,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,I am not sure / I will decide on the spot,"hotel, flight, rental car",expedia travelocity,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Once a year or about once a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,Rural or countryside locales,NoAnswer,NoAnswer,Hotel,Luxury resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
719,"Hotel, car, restaurants, tours",Getting travel insurance,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,Renting a bike from the street (public bicycle scheme),NoAnswer,TripAdvisor Travelocity Travelzoo Expedia google flights hotels.com,Go City,CityPass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Bing search,NoAnswer,Go City,City Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,Somewhat likely,NoAnswer,NoAnswer,NoAnswer,NoAnswer,I am not sure / I will decide on the spot,"hotel, car, restaurants, tours",tripadvisor travelocity travelzoo expedia google flights hotels.com,viator,I own a valid passport,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,Las Vegas,NoAnswer,Miami,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,San Antonio,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,5-6 days,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Luxury resort,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
720,"hotel, tour, places to eat",NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,hertz hilton,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,The New York Pass,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Satisfied,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Somewhat likely,I am not sure / I will decide on the spot,"hotel, tour, places to eat",hertz hilton,not sure ,NoAnswer,I plan a leisure trip within the USA in the next two years,I plan a leisure trip abroad in the next two years,NoAnswer,NoAnswer,Las Vegas,NoAnswer,Miami,New Orleans,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Dubai,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Paris,NoAnswer,NoAnswer,NoAnswer,Multiple times a year,5-6 days,NoAnswer,Mountain or alpine resort,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
721,Transportation  Hotel  ,NoAnswer,"Getting a pass that allows entry to multiple attractions, sightseeing places, and museums",Renting a car,Hiring a tour guide,Finding a 5* hotel,NoAnswer,Buying a weekly ticket for public transport,NoAnswer,Renting a bike from the street (public bicycle scheme),NoAnswer,None,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,I am not sure / I will decide on the spot,transportation  hotel  ,none,NoAnswer,I own a valid passport,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,5-6 days,Beach or seaside resort,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,Airbnb / privately rented accommodations,NoAnswer,NoAnswer,NoAnswer,NoAnswer
722,Rock a feller park ,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Buying a weekly ticket for public transport,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Este lauder,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,rock a feller park ,este lauder,NoAnswer,NoAnswer,I plan a leisure trip within the USA in the next two years,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,New York,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Multiple times a year,4 days or fewer,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
723,Hotel ,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Finding a 5* hotel,NoAnswer,NoAnswer,Getting free advice/maps from the local tourist organization,NoAnswer,NoAnswer,Not sure,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,hotel ,not sure,NoAnswer,I own a valid passport,NoAnswer,NoAnswer,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,not shown,Less than once a year,No rules,Beach or seaside resort,NoAnswer,City or Metropolis,NoAnswer,NoAnswer,NoAnswer,NoAnswer,Hotel,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer,NoAnswer
